added_time,address,area,avenue,crawl_time,fang_subway_ex,floor,house_orientation,housing_units,img_url,info,location,rent,result_kanfang,title
2017.08.23,"
                                    ",86,电影华苑,1505316916.863381,距离1号线上海体育馆站351米,低区/33层,暂无数据,2室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170607/75912e9d-db6e-415c-99d3-a343c2020942.jpg_600x450.jpg,,徐汇,11000,15,电影华苑，看房方便，上门实勘，生活很便利
2017.08.23,"
                                    ",34,车站新村（普陀）,1505316916.8724842,距离11号线上海西站站221米,高区/6层,暂无数据,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170813/7a35d476-d9d2-4ef7-89fc-fd1988fac58a.jpg_600x450.jpg,,普陀,3200,20,有钥匙房源，多次带看，上门实拍，一室小户型
2017.08.23,"
                                    ",41,京浦小区,1505316916.8846679,距离11号线御桥站685米,高区/6层,暂无数据,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170825/c23ed34d-6653-427e-97d8-910bbea2f76b.jpg_600x450.jpg,,浦东,3500,19,看房方便，真实在租，一室小户型，人气房源
2017.08.24,"
                                    ",178,汇翠花园,1505316916.893895,距离1号线上海体育馆站349米,中区/34层,朝南北,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170606/c116db47-2a87-47a2-87de-f0d2b7e7837d.jpg_600x450.jpg,,徐汇,15000,11,3房出租，如您所见，好楼层，南北户型
2017.08.24,"
                                    ",63,三林安居苑,1505316916.9062872,距离11号线三林东站244米,中区/6层,朝南,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170211/c617eec6-477f-485b-9b20-a6992ae99460.jpg_600x450.jpg,,浦东,4600,13,三林安居苑，有钥匙方便看，光线充足，地铁沿线
2017.08.24,"
                                    ",34,寿祥坊,1505316916.915591,距离1号线锦江乐园站991米,中区/6层,朝南,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170119/3dc197fd-fc55-4daa-9ca3-8552a287eb76.jpg_600x450.jpg,,徐汇,3000,18,好楼层，链家好房，小户型，交通便利
2017.08.24,"
                                    ",94,御上海,1505316916.925123,距离9号线松江大学城站581米,低区/18层,朝南北,2室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151130/2f074c21-9a61-4ab2-a358-c9292c2b5292.jpg_600x450.jpg,,松江,4500,19,御上海，简约二室，房型正气，好房好心情
2017.08.24,"
                                    ",81,华山花苑,1505316916.937398,距离11号线交通大学站230米,中区/26层,暂无数据,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170825/e36fa9dd-bbb4-4170-854a-fd44531af128.jpg_600x450.jpg,,长宁,8200,17,光线充足，放心好房，地铁沿线，受欢迎好房
2017.08.25,"
                                    ",43,杜鹃园,1505316916.945683,距离12号线虹漕路站877米,中区/6层,暂无数据,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170321/66cc0790-856b-48e7-b730-b9d47e1943a4.jpg_600x450.jpg,,徐汇,3500,15,杜鹃园，有钥匙，享受好房，光线充足
2017.08.25,"
                                    ",59,新德公寓,1505316916.958854,距离1号线共康路站604米,低区/6层,朝南,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170314/5d83a365-bb8b-47c4-aa61-7888be67b9f3.jpg_600x450.jpg,,闸北,4200,16,新德公寓，人气房源，2室1厅1卫，有爱有家
2017.08.25,"
                                    ",64,同济华城,1505316916.967533,距离12号线虹梅路站134米,高区/17层,朝南北,3室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20150102/4b8880fe-c740-4df9-850e-ece02a80ce4b.jpg_600x450.jpg,,闵行,6000,17,同济华城，最近看房多，南北直通，舒适三室
2017.08.25,"
                                    ",35,泰东新村（徐汇）,1505316916.977105,距离4号线上海体育场站313米,中区/6层,暂无数据,1室 0厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160512/39788df9-e9a1-4701-b9ea-b1db3b75a5b2.jpg_600x450.jpg,,徐汇,5500,12,泰东新村，有爱有家，高清大图，地铁沿线
2017.08.25,"
                                    ",51,香楠小区,1505316916.988367,距离2号线广兰路站948米,高区/6层,朝南,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170829/edc36c8c-ede5-47ab-92cf-da82c3055c26.jpg_600x450.jpg,,浦东,4300,16,香楠小区，人气房源，出行方便，光线棒
2017.08.25,"
                                    ",44,航华四村,1505316917.002012,距离10号线紫藤路站530米,高区/6层,朝南,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170903/b322524d-3695-433b-89d4-1baef359bae1.jpg_600x450.jpg,,闵行,4000,12,高区景观好，如您所见，看房方便，温馨一室
,"
                                    ",114,上海绿城,1505316917.0128052,距离4号线蓝村路站843米,中区/28层,暂无数据,2室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/2014/0503/755831E6377F4FCB98A155CAE4C6E053.jpg_600x450.jpg,,浦东,0,24,上海绿城，看房客户多，好房待租，链家有钥匙
2017.08.25,"
                                    ",40,康乐小区（徐汇）,1505316917.024996,距离1号线上海南站站860米,中区/6层,朝南,1室 0厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170421/85f03ea8-d09d-40ae-9668-8cc22e352ea5.jpg_600x450.jpg,,徐汇,3800,21,康乐小区，看房客户多，上门实拍，地铁沿线
2017.08.25,"
                                    ",70,黎安一村,1505316917.0367098,距离12号线七莘路站807米,高区/6层,朝南北,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170825/8a3a3f1f-8906-49b6-a4be-6bdf142f31b2.jpg_600x450.jpg,,闵行,4600,12,南北直通，近地铁，适合自住，看房客户多
2017.08.25,"
                                    ",51,保德路1120弄,1505316917.049852,距离1号线共康路站464米,低区/6层,朝南北,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160620/f96e6b8e-de7e-4977-ae50-0baa2527bb92.jpg_600x450.jpg,,闸北,3800,35,保德路1120弄，最近看房多，精致户型，低楼层
2017.08.26,"
                                    ",43,国定路555弄,1505316917.0614011,距离10号线江湾体育场站943米,中区/5层,暂无数据,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170614/056eacdd-e6c2-415c-9b26-a3d9f3228d26.jpg_600x450.jpg,,杨浦,4100,15,看房方便，看房客户多，空气清新，高清照片
2017.08.21,"
                                    ",60,城南路383号,1505316917.071383,距离2号线川沙站732米,高区/6层,暂无数据,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170702/3ba3dd1c-e714-47a5-b089-0e81bdbb66cc.jpg_600x450.jpg,,浦东,2800,17,城南路383号，视野很好，人气房源，2室1厅
2017.08.21,"
                                    ",60,保利西子湾,1505316917.0826461,距离9号线松江大学城站700米,低区/18层,朝南,1室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170822/70859fe3-fe97-4915-ad3d-98ca9e8195be.jpg_600x450.jpg,,松江,3700,26,保利西子湾，最近看房多，1室2厅1卫，上下楼方便
2017.08.21,"
                                    ",48,培育苑,1505316917.092414,距离16号线龙阳路站809米,中区/6层,暂无数据,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160828/c2b8d3d2-f212-4932-8f1e-d03b1603ed07.jpg_600x450.jpg,,浦东,4500,22,培育苑，1室1厅1卫，钥匙在店，放心好房
2017.08.21,"
                                    ",64,新福康里（公寓）,1505316917.1094909,距离13号线自然博物馆站443米,低区/8层,朝南,2室 0厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170826/ac84a8c8-8824-4a76-a905-3b374c00e12c.jpg_600x450.jpg,,静安,8500,23,看房客户多，链家好房，附近有地铁，钥匙在链家
